name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york city,2015-02-17,-2.6,-9.5,-6.1,-2.8,-16.3,-9.6,-13.2,58.8,3.631,100,33.33,snow,14.8,15.8,29.5,15.6,34.1,1013.3,67.7,10.7,72.2,6.2,3,,2015-02-17T06:47:38,2015-02-17T17:33:02,0.96,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-18,-0.9,-6.9,-3.7,-1.5,-10.7,-6.4,-11.1,56.7,0,0,0,,0,19.5,,14.3,98.4,1010.3,40.2,15,154.7,13.4,6,,2015-02-18T06:46:17,2015-02-18T17:34:14,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-19,-2.8,-12,-7.6,-8.6,-21.3,-15.3,-18.4,42.3,0,0,0,,0,18.5,51.2,33.5,295.5,1009.4,48.9,16,103.2,8.9,5,,2015-02-19T06:44:54,2015-02-19T17:35:25,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-20,-7,-16.5,-11.7,-12.4,-26.6,-19.9,-23.3,38.1,0,0,0,,0,10.4,51,26.9,287.1,1023.8,2.1,16,186.4,16.3,7,,2015-02-20T06:43:31,2015-02-20T17:36:36,0.06,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-21,0,-9.8,-5,-3.1,-16.5,-8.8,-12.7,57.8,13.533,100,41.67,"rain,snow",1.3,6.2,38.9,16.8,216.9,1028.9,58.3,10.2,68.9,5.8,3,,2015-02-21T06:42:07,2015-02-21T17:37:47,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-22,5.8,0,2.4,5.8,-2.7,1.1,-1.9,74.9,4.668,100,33.33,"rain,snow",0.8,7.7,,15.9,262.1,1021.1,58.3,9.9,100.6,8.7,5,,2015-02-22T06:40:41,2015-02-22T17:38:58,0.13,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow clearing later.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-23,3.4,-13.2,-4.7,1,-21.9,-11.4,-16.1,41.3,0,0,0,,0,7.5,50,29.4,315.3,1025.3,38.8,16,136,11.7,6,,2015-02-23T06:39:15,2015-02-23T17:40:08,0.16,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-24,-4.3,-15.3,-9.7,-7.2,-22,-14.7,-19.2,46.2,0,0,0,,0,7.4,35.3,19.1,234,1022.5,19.7,16,200.4,17.3,7,,2015-02-24T06:37:48,2015-02-24T17:41:18,0.19,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-25,2.9,-6.4,-1.4,1.3,-10.7,-5.1,-12,45.8,0,0,0,,9.2,12.7,39.8,20.9,278.3,1010.8,16,16,196.2,17,7,,2015-02-25T06:36:20,2015-02-25T17:42:28,0.25,Clear,Clear conditions throughout the day.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-26,0,-5.6,-3.9,-2.5,-12.3,-8.7,-13,50,0,0,0,,0,13.8,29.5,19.9,25.2,1016.4,69.7,15.5,140,12,6,,2015-02-26T06:34:51,2015-02-26T17:43:38,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
